"","1","2","3"
"host_phenotype_s","neutered","obese","Obese after weight loss"
"Acidaminococcaceae",NA,"1.870192",NA
"Bacteroidaceae",NA,NA,"1.593137"
"Clostridiaceae_1","6.625000","4.893182",NA
"Coriobacteriaceae","2.639113","5.815524","6.804435"
"Enterococcaceae","4.53125",NA,"1.68750"
"Erysipelotrichaceae","2.585829",NA,NA
"Lachnospiraceae","1.996212",NA,"1.979167"
"Peptostreptococcaceae","11.847067"," 3.092179"," 4.098464"
"Prevotellaceae","1.691028","7.303931","8.563004"
"Streptococcaceae","3.111111","3.694444",NA
"Succinivibrionaceae","4.888514","3.591216","5.412162"
"Sutterellaceae",NA,"2.548387","3.891129"
"Synergistaceae",NA,"5.8125","2.6250"
"Veillonellaceae","2.340054","5.614247","5.580645"
